Name,Unmodelled (BP),,,,
,from,to,%,sigma,median
R_Date SUA263,635,309,95.4,85,483
R_Date ANU-7002,4420,3981,95.4,122,4209
R_Date ANU-7003,7420,6995,95.4,114,7209
R_Date SUA264,7689,6883,95.4,203,7333
R_Date ANU-7004,8558,7676,95.4,225,8127
R_Date ANU-7005,12681,12006,95.4,186,12358
R_Date ANU-7006,17429,15001,95.4,606,16132
R_Date ANUA-9913,12638,11500,95.4,274,12140
R_Date ANUA-9914,16267,15043,95.4,314,15628
R_Date ANU-7007,18583,17885,95.4,179,18223
R_Date SUA265,22493,21051,95.4,372,21843
R_Date ANU-7115,29584,18480,95.4,2951,23286
R_Date ANUA-9915,13108,12159,95.3,223,12724
